"Customer Code","Customer Name","Broker Code","Broker Name","App Contract No","App Contract Date","Contract Valid From","Contract Valid To","Material Code","Material Qty(case)","Material Qty(MT)","UOM (case)","Product Group","Material Description","Depot Code","Depot Name",State,"Material Cost",Freight,"Packing Cost","Depot Cost","Margin Cost","Basic Rate",Freight,Tax,TD,Premium,CM-TD,"Total Value",Incoterms,"Employee Name","Payment Due On","CM-Credit Limit",Remarks,Vertical
104813,"Pankaj Store",,,FTE003320160817193008,17.08.2016,17.08.2016,16.09.2016,400000152,200,2.700,Case,Palm,"Palm 15 ltr Tin",BC37,"Sambalpur-Depot (Haldia)",Odisha,850.5,22.07,82,1.35,0,955.92,0.01,,0,3.06,0,191798,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
104813,"Pankaj Store",,,FTE003320160817193152,17.08.2016,17.08.2016,16.09.2016,400000141,250,2.250,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC37,"Sambalpur-Depot (Haldia)",Odisha,567,12.9823529412,38,0.9,0,618.88,0.01,,0,1.58,0,155117.5,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
104813,"Pankaj Store",,,FTE003320160817193413,17.08.2016,17.08.2016,16.09.2016,400000128,250,2.250,Case,Palm,"Palm 500 ml Pouch",BC37,"Sambalpur-Depot (Haldia)",Odisha,567,12.9823529412,48,0.9,0,628.88,0.01,,0,1.01,0,157475,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
100101,"Sresth Products Pvt Limited",100560,"Rajesh Khaitan",FTE002720160817185138,17.08.2016,17.08.2016,16.09.2016,400000128,2000,18.000,Case,Palm,"Palm 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",567,0,48,0,0,615,0,,0,0,0,1230000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100101,"Sresth Products Pvt Limited",100560,"Rajesh Khaitan",FTE002720160817185138,17.08.2016,17.08.2016,16.09.2016,400000141,2000,18.000,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC35,Haldia-Depot,"West Bengal",567,0,38,0,0,605,0,,0,0,0,1210000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100101,"Sresth Products Pvt Limited",100560,"Rajesh Khaitan",FTE002720160817185138,17.08.2016,17.08.2016,16.09.2016,400000151,11000,165.033,Case,Palm,"Palm 15 kg Tin",BC35,Haldia-Depot,"West Bengal",945.19,0,82,0,0,1027.19,0,,2.19,0,0,11275000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100635,S.V.Traders,100560,"Rajesh Khaitan",FTE002720160817185322,17.08.2016,17.08.2016,16.09.2016,400000128,2000,18.000,Case,Palm,"Palm 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",567,0,48,0,0,615,0,,0,0,0,1230000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100635,S.V.Traders,100560,"Rajesh Khaitan",FTE002720160817185322,17.08.2016,17.08.2016,16.09.2016,400000141,2000,18.000,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC35,Haldia-Depot,"West Bengal",567,0,38,0,0,605,0,,0,0,0,1210000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100364,"Tirupati Oil Industries",100560,"Rajesh Khaitan",FTE002720160817185920,17.08.2016,17.08.2016,16.09.2016,400000128,2000,18.000,Case,Palm,"Palm 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",567,0,48,0,0,615,0,,0,0,0,1230000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100364,"Tirupati Oil Industries",100560,"Rajesh Khaitan",FTE002720160817185920,17.08.2016,17.08.2016,16.09.2016,400000141,3000,27.000,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC35,Haldia-Depot,"West Bengal",567,0,38,0,0,605,0,,0,0,0,1815000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100364,"Tirupati Oil Industries",100560,"Rajesh Khaitan",FTE002720160817185920,17.08.2016,17.08.2016,16.09.2016,400000151,5000,75.015,Case,Palm,"Palm 15 kg Tin",BC35,Haldia-Depot,"West Bengal",945.19,0,82,0,0,1027.19,0,,2.19,0,0,5125000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
100260,R.R.Enterprises,103312,"Utkal Sales - Berhi",FTE002720160817190031,17.08.2016,17.08.2016,16.09.2016,400000151,2000,30.006,Case,Palm,"Palm 15 kg Tin",BC35,Haldia-Depot,"West Bengal",945.19,0,82,0,0,1027.19,0,,2.19,0,0,2050000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
102467,"Shyam Sundar & Co.Pvt.Ltd.",100560,"Rajesh Khaitan",FTE002720160817190328,17.08.2016,17.08.2016,07.09.2016,400000128,2500,22.500,Case,Palm,"Palm 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",567,0,48,0,0,615,0,,0,0,0,1537500,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
102467,"Shyam Sundar & Co.Pvt.Ltd.",100560,"Rajesh Khaitan",FTE002720160817190328,17.08.2016,17.08.2016,07.09.2016,400000141,4500,40.500,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC35,Haldia-Depot,"West Bengal",567,0,38,0,0,605,0,,0,0,0,2722500,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
102467,"Shyam Sundar & Co.Pvt.Ltd.",100560,"Rajesh Khaitan",FTE002720160817190328,17.08.2016,17.08.2016,07.09.2016,400000151,5000,75.015,Case,Palm,"Palm 15 kg Tin",BC35,Haldia-Depot,"West Bengal",945.19,0,82,0,0,1027.19,0,,2.19,0,0,5125000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
105218,"Adarsh Udyog",105400,"Anand Chandak",FTE002820160817185150,17.08.2016,17.08.2016,16.09.2016,400000151,2000,30.006,Case,Palm,"Palm 15 kg Tin",BC04,"Raipur-Depot (Haldia)",Chhattisgarh,945.19,33.273,82,1.5,0,1061.96,0,,5.16,0,0,2113600,Exw,"Soumya Das",01.09.2016,,,HBC&Rasoi&BIB
100638,"Manilal Thakkar & Co.",,,FTE004020160817185839,17.08.2016,17.08.2016,16.09.2016,400000128,2000,18.000,Case,Palm,"Palm 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",567,0,48,0,0,615,0,,0,0,0,1230000,Exw,"Dipankar  Bodhak",01.09.2016,,,HBC&Rasoi&BIB
100638,"Manilal Thakkar & Co.",,,FTE004020160817185839,17.08.2016,17.08.2016,16.09.2016,400000141,3000,27.000,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC35,Haldia-Depot,"West Bengal",567,0,38,0,0,605,0,,0,0,0,1815000,Exw,"Dipankar  Bodhak",01.09.2016,,,HBC&Rasoi&BIB
100638,"Manilal Thakkar & Co.",,,FTE004020160817185839,17.08.2016,17.08.2016,16.09.2016,400000151,2000,30.006,Case,Palm,"Palm 15 kg Tin",BC35,Haldia-Depot,"West Bengal",945.19,0,82,0,0,1027.19,0,,2.19,0,0,2050000,Exw,"Dipankar  Bodhak",01.09.2016,,,HBC&Rasoi&BIB
106952,"Vishnu Marketi",,,FTE007220160817193500,17.08.2016,17.08.2016,07.09.2016,400000389,50,0.750,Case,"Puffs & Kharis","HBM Gold - RG01",BC20,Hubli-Depot,Karnataka,0,0,0,0,0,1087.84,0,,10,0,0,53892,Exw,Rajeev.H.Kulkarni,01.09.2016,,,"Specialty Fats"
106952,"Vishnu Marketi",,,FTE007220160817193500,17.08.2016,17.08.2016,07.09.2016,400000621,10,0.150,Case,"Puffs & Kharis","HBM - R5",BC20,Hubli-Depot,Karnataka,0,0,0,0,0,993.73,0,,10,0,0,9837.3,Exw,Rajeev.H.Kulkarni,01.09.2016,,,"Specialty Fats"
103745,"Vanigota Sugar Trading Company",,,FTE006020160817192755,17.08.2016,17.08.2016,07.09.2016,400000621,800,11.998,Case,"Puffs & Kharis","HBM - R5",BC74,Raichur-Depot,Karnataka,0,0,0,0,0,986.93,7,,0,0,0,795144,FOR,"R.Mohan Kumar",01.09.2016,,,"Specialty Fats"
100616,"Rani Sati Agro Oil Pvt Ltd.",,,FTE000820160817195038,17.08.2016,17.08.2016,16.09.2016,400000523,150,2.250,Case,Rasoi,"Rasoi No 1 15 kg Jar",BC35,Haldia-Depot,"West Bengal",0,0,0,0,0,942.86,20,,1,0,0,144279,FOR,"Asish Kumar Banerjee",01.09.2016,,,HBC&Rasoi&BIB
100616,"Rani Sati Agro Oil Pvt Ltd.",,,FTE000820160817195306,17.08.2016,17.08.2016,16.09.2016,400000449,200,2.999,Case,Rasoi,"Rasoi 15 kg Jar (Gold)",BC18,Kolkata-Depot,"West Bengal",0,0,0,0,6.75,1129.55,9,,0.5,0,0,227610,FOR,"Asish Kumar Banerjee",01.09.2016,,,HBC&Rasoi&BIB
105765,"Achheylall Mangal Prasad",105824,"Anup Kumar Agarwal",FTE002720160817203428,17.08.2016,17.08.2016,16.09.2016,400000395,5000,67.312,Case,Rasoi,"Rasoi 15 ltr Jar (Yellow)",BC27,Siliguri-Depot,"West Bengal",0,0,0,0,6.06,912.18,0,,8.18,0,0,4520000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
105765,"Achheylall Mangal Prasad",105824,"Anup Kumar Agarwal",FTE002720160817204540,17.08.2016,17.08.2016,16.09.2016,400000455,5000,71.800,Case,Rasoi,"Rasoi 1 ltr Pouch (Siliguri)",BC27,Siliguri-Depot,"West Bengal",0,0,0,0,6.46,905.32,0,,5.32,0,0,4500000,Exw,"Soumitra Bhattacharya",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000589,5,0.072,Case,Rasoi,"Rasoi No 1 - 1 ltr Pouch",BC35,Haldia-Depot,"West Bengal",0,0,0,0,0,885.71,20,,0,0,0,4528.55,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000594,5,0.072,Case,Rasoi,"Rasoi No 1 - 500ml Pouch",BC35,Haldia-Depot,"West Bengal",0,0,0,0,0,900.95,20,,0,0,0,4604.75,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000636,5,0.072,Case,Rasoi,"Rasoi No 1 - 200ml Pouch",BC35,Haldia-Depot,"West Bengal",0,0,0,0,0,931.43,20,,0,0,0,4757.15,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000140,490,5.351,Case,Soyabean,"Soyabean 1 ltr Pouch",BC35,Haldia-Depot,"West Bengal",731.64,0,48,0,0,779.64,13,,5,0,0,385943.6,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000170,50,0.546,Case,Soyabean,"Soyabean 500 ml Pouch",BC35,Haldia-Depot,"West Bengal",731.64,0,60,0,0,791.64,13,,5,0,0,39982,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
106261,"Ramkrishna Sadhukhan",,,FTE003220160817212241,17.08.2016,17.08.2016,07.09.2016,400000564,50,0.546,Case,Soyabean,"Soyabean 500 ml Bottle",BC35,Haldia-Depot,"West Bengal",731.64,0,120,0,0,851.64,13,,0,0,0,43232,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
103231,"Roy & Co",,,FTE003220160817222833,17.08.2016,17.08.2016,07.09.2016,400000140,280,3.058,Case,Soyabean,"Soyabean 1 ltr Pouch",BC18,Kolkata-Depot,"West Bengal",731.64,7.16571428571,48,1.09,4.37,792.27,4,,5,0,0,221555.6,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
103231,"Roy & Co",,,FTE003220160817222833,17.08.2016,17.08.2016,07.09.2016,400000170,40,0.437,Case,Soyabean,"Soyabean 500 ml Pouch",BC18,Kolkata-Depot,"West Bengal",731.64,7.16571428571,60,1.09,4.37,804.27,4,,5,0,0,32130.8,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
103231,"Roy & Co",,,FTE003220160817222833,17.08.2016,17.08.2016,07.09.2016,400000564,5,0.055,Case,Soyabean,"Soyabean 500 ml Bottle",BC18,Kolkata-Depot,"West Bengal",731.64,8.36,120,1.09,4.37,865.46,4,,5,0,0,4322.3,FOR,"Subrata Sarkar",01.09.2016,,,HBC&Rasoi&BIB
104330,"Khatu Shyam Trading Co.",,,FTE012120160817203750,17.08.2016,17.08.2016,16.09.2016,400000154,300,4.499,Case,Soyabean,"Soyabean 15 kg Tin",BC35,Haldia-Depot,"West Bengal",1004.79,0,82,0,0,1086.79,0,,0,0.21,0,326100,Exw,"Sandip Ghosh",01.09.2016,,,HBC&Rasoi&BIB
